ClientID,TipClient,Consum_kWh,DataCitire
12344,Casnic,49.87,2025-05-31
12345,Casnic,49.84,2025-06-22
12343,Casnic,49.82,2025-05-17
12352,Casnic,49.75,2025-06-27
12356,Casnic,49.74,2025-06-05
12356,Casnic,49.73,2025-05-03
12345,Casnic,49.59,2025-06-17
12350,Casnic,49.56,2025-05-27
12344,Casnic,49.53,2025-05-29
12360,Casnic,49.4,2025-05-18
12346,Casnic,49.23,2025-06-30
12348,Casnic,49.18,2025-06-11
12346,Casnic,49.01,2025-06-07
12359,Casnic,48.9,2025-06-23
12358,Casnic,48.48,2025-06-08
12342,Casnic,48.32,2025-05-05
12341,Casnic,48.21,2025-05-31
12348,Casnic,48.13,2025-06-21
12356,Casnic,47.96,2025-05-19
12349,Casnic,47.84,2025-06-02
12353,Casnic,47.75,2025-06-20
12345,Casnic,47.65,2025-05-31
12356,Casnic,47.54,2025-06-25
12358,Casnic,47.49,2025-06-16
12355,Casnic,47.36,2025-05-08
12358,Casnic,47.32,2025-05-23
12348,Casnic,47.28,2025-05-31
12347,Casnic,47.13,2025-05-21
12346,Casnic,47.06,2025-05-11
12359,Casnic,46.98,2025-06-22
12360,Casnic,46.93,2025-06-27
12360,Casnic,46.58,2025-06-22
12349,Casnic,46.45,2025-05-15
12344,Casnic,46.1,2025-06-24
12345,Casnic,46.09,2025-05-22
12359,Casnic,46.05,2025-06-27
12359,Casnic,45.96,2025-06-15
12344,Casnic,45.95,2025-05-25
12346,Casnic,45.7,2025-06-12
12360,Casnic,45.61,2025-11-05
12340,Casnic,45.38,2025-06-27
12342,Casnic,45.37,2025-06-04
12358,Casnic,45.35,2025-01-06
12351,Casnic,44.77,2025-05-28
12355,Casnic,44.76,2025-06-13
12347,Casnic,44.71,2025-01-06
12355,Casnic,44.68,2025-06-10
12346,Casnic,44.62,2025-04-06
12351,Casnic,44.47,2025-05-31
12353,Casnic,44.4,2025-05-09
12352,Casnic,44.24,2025-06-22
12355,Casnic,44.04,2025-05-01
12343,Casnic,43.89,2025-05-27
12345,Casnic,43.66,2025-06-08
12355,Casnic,43.57,2025-06-27
12343,Casnic,43.39,2025-05-08
12359,Casnic,43.26,2025-05-24
12343,Casnic,43.26,2025-05-05
12358,Casnic,43.2,2025-06-02
12350,Casnic,43.14,2025-06-05
12340,Casnic,42.91,2025-11-06
12359,Casnic,42.78,2025-05-18
12355,Casnic,42.66,2025-05-24
12342,Casnic,42.52,2025-06-11
12340,Casnic,42.48,2025-05-01
12346,Casnic,42.44,2025-05-09
12345,Casnic,42.23,2025-08-06
12349,Casnic,42.22,2025-06-13
12358,Casnic,41.65,2025-06-11
12357,Casnic,41.43,2025-06-05
12349,Casnic,41.22,2025-05-22
12340,Casnic,41.17,2025-06-03
12353,Casnic,41.14,2025-05-28
12344,Casnic,41.14,2025-06-27
12341,Casnic,41.03,2025-05-01
12349,Casnic,41.02,2025-05-13
12342,Casnic,40.97,2025-05-11
12346,Casnic,40.78,2025-06-29
12360,Casnic,40.68,2025-05-23
12347,Casnic,40.56,2025-05-04
12341,Casnic,40.49,2025-05-23
12358,Casnic,40.45,2025-11-06
12347,Casnic,40.41,2025-05-20
12346,Casnic,40.36,2025-04-06
12350,Casnic,40.34,2025-06-12
12351,Casnic,40.27,2025-06-18
12342,Casnic,40.04,2025-06-06
12354,Casnic,39.93,2025-06-04
12354,Casnic,39.86,2025-05-24
12357,Casnic,39.76,2025-05-21
12359,Casnic,39.7,2025-05-31
12344,Casnic,39.47,2025-05-14
12341,Casnic,39.39,2025-06-18
12353,Casnic,39.34,2025-02-06
12345,Casnic,39.26,2025-05-04
12340,Casnic,39.19,2025-06-24
12352,Casnic,38.96,2025-05-27
12345,Casnic,38.79,2025-05-06
12357,Casnic,38.79,2025-08-06
12354,Casnic,38.34,2025-06-26
12360,Casnic,38.15,2025-05-24
12357,Casnic,38.01,2025-05-02
12353,Casnic,37.98,2025-05-06
12345,Casnic,37.93,2025-06-15
12357,Casnic,37.86,2025-05-19
12358,Casnic,37.81,2025-05-16
12340,Casnic,37.77,2025-06-22
12347,Casnic,37.73,2025-05-14
12341,Casnic,37.38,2025-05-31
12349,Casnic,37.0,2025-10-05
12354,Casnic,36.94,2025-05-13
