ClientID,TipClient,Consum_kWh,DataCitire
12349,Casnic,17.89,2025-06-26
12359,Casnic,46.05,2025-06-27
12343,Casnic,21.5,2025-05-24
12352,Industrial,10.67,2025-05-27
12358,Industrial,12.36,2025-05-27
12345,Industrial,26.89,2025-05-20
12349,Industrial,38.92,2025-09-05
12347,Casnic,23.0,2025-05-18
12356,Casnic,30.9,2025-08-06
12346,Industrial,11.35,2025-06-04
12355,Casnic,44.68,2025-06-10
12344,Industrial,29.41,2025-06-16
12341,Casnic,41.03,2025-05-01
12356,Industrial,13.5,2025-06-05
12344,Industrial,38.3,2025-06-24
12343,Casnic,34.83,2025-06-24
12346,Casnic,40.36,2025-04-06
12343,Industrial,48.68,2025-05-23
12356,Casnic,47.54,2025-06-25
12349,Industrial,20.39,2025-05-12
12360,Casnic,26.06,2025-05-14
12352,Industrial,38.34,2025-05-21
12355,Industrial,25.92,2025-06-20
12342,Casnic,33.54,2025-05-20
12356,Industrial,37.12,2025-05-24
12340,Industrial,26.65,2025-05-09
12360,Casnic,14.52,2025-05-17
12357,Casnic,22.86,2025-05-31
12344,Industrial,47.95,2025-05-03
12350,Industrial,43.76,2025-06-08
12347,Casnic,40.41,2025-05-20
12355,Casnic,31.37,2025-06-14
12348,Industrial,22.39,2025-06-15
12347,Industrial,36.35,2025-05-28
12345,Casnic,39.26,2025-05-04
12352,Casnic,27.92,2025-06-11
12359,Industrial,11.15,2025-05-02
12360,Casnic,46.93,2025-06-27
12350,Industrial,12.72,2025-05-09
12350,Casnic,17.2,2025-05-06
12341,Casnic,11.16,2025-06-20
12358,Casnic,14.2,2025-06-24
12351,Industrial,32.6,2025-05-10
12340,Industrial,24.02,2025-05-02
12353,Industrial,44.86,2025-05-08
12353,Industrial,13.03,2025-05-21
12356,Industrial,39.6,2025-06-29
12345,Casnic,47.65,2025-05-31
12357,Industrial,18.66,2025-06-16
12340,Industrial,39.49,2025-05-23
12346,Industrial,13.08,2025-05-08
12357,Industrial,46.99,2025-06-23
12344,Industrial,21.91,2025-06-15
